state,cause,year,fires,acres,median_size
AK,Fireworks,2003,6,1.0,0.1
AK,Fireworks,2004,5,38.900000000000006,0.1
AK,Fireworks,2005,4,1.1,0.25
AK,Fireworks,2006,4,0.4,0.1
AK,Fireworks,2007,1,0.1,0.1
AK,Fireworks,2008,4,1.6000000000000003,0.1
AK,Fireworks,2009,3,14.0,4.0
AK,Lightning,1992,98,89485.99999999999,5.5
AK,Lightning,1993,276,684858.0999999995,6.0
AK,Lightning,1994,208,256398.60000000015,11.0
AK,Lightning,1995,63,38208.899999999994,5.0
AK,Lightning,1996,142,428014.6999999997,8.5
AK,Lightning,1997,241,2008883.300000002,23.0
AK,Lightning,1998,48,119370.1,16.5
AK,Lightning,1999,157,981225.4999999999,30.0
AK,Lightning,2000,83,740918.5999999999,20.0
AK,Lightning,2001,29,10465.300000000003,5.0
AK,Lightning,2002,170,1766101.3000000026,21.0
AK,Lightning,2003,80,579423.7,10.0
AK,Lightning,2004,274,6572470.700189994,35.8
AK,Lightning,2005,325,4623161.401999996,50.0
AK,Lightning,2006,54,133396.90000000002,34.5
AK,Lightning,2007,263,541897.4000199994,11.5
AK,Lightning,2008,103,90627.90000000005,10.0
AK,Lightning,2009,195,2892886.100000002,20.0
AK,Lightning,2010,333,1030998.8999999996,13.1
AK,Lightning,2011,133,267756.49999999977,5.0
AK,Lightning,2012,146,266759.7,15.0
AK,Lightning,2013,212,1159285.0000000005,37.0
AK,Lightning,2014,53,10536.800000000001,25.0
AK,Lightning,2015,422,5034867.789999994,908.3
AK,Miscellaneous,1992,61,48247.19999999996,0.1
AK,Miscellaneous,1993,137,205.59999999999948,0.1
AK,Miscellaneous,1994,98,386.50000000000136,0.1
AK,Miscellaneous,1995,79,415.40000000000055,0.1
AK,Miscellaneous,1996,54,2249.100000000001,0.1
AK,Miscellaneous,1997,89,14937.60000000002,0.1
AK,Miscellaneous,1998,68,638.0000000000007,0.1
AK,Miscellaneous,1999,63,572.8000000000008,0.1
AK,Miscellaneous,2000,43,471.50000000000017,0.1
AK,Miscellaneous,2001,38,117817.00000000009,0.25
AK,Miscellaneous,2002,57,390.2000000000007,0.1
AK,Miscellaneous,2003,59,361.20000000000033,0.2
AK,Miscellaneous,2004,32,7303.900000000004,0.1
AK,Miscellaneous,2005,46,4990.100000000008,0.1
AK,Miscellaneous,2006,15,283.3000000000002,0.1
AK,Miscellaneous,2007,14,33457.0,0.1
AK,Miscellaneous,2008,40,315.20000000000056,0.1
AK,Miscellaneous,2009,61,390.05,0.2
AK,Miscellaneous,2010,42,1777.4,0.15000000000000002
AK,Miscellaneous,2011,62,18.249999999999996,0.1
AK,Miscellaneous,2012,67,16689.09999999994,0.1
AK,Miscellaneous,2013,77,1424.3999999999965,0.1
AK,Miscellaneous,2014,13,408.1,0.1
AK,Miscellaneous,2015,14,9534.17,0.1
AK,Missing/Undefined,1992,2,0.6,0.3
AK,Missing/Undefined,1994,3,20.2,0.1
AK,Missing/Undefined,1995,1,0.1,0.1
AK,Missing/Undefined,1997,1,2.0,2.0
AK,Missing/Undefined,1999,2,415.79999,207.899995
AK,Missing/Undefined,2001,1,2.0,2.0
AK,Missing/Undefined,2003,6,11.8,0.3
AK,Missing/Undefined,2004,46,171.3999999999999,0.1
AK,Missing/Undefined,2005,1,0.5,0.5
AK,Missing/Undefined,2006,23,43.60000000000002,0.1
AK,Missing/Undefined,2007,55,56474.79999999997,0.1
AK,Missing/Undefined,2008,13,804.0000000000001,1.0
AK,Missing/Undefined,2009,17,12854.6,0.3
AK,Missing/Undefined,2010,37,1081.0,0.5
AK,Missing/Undefined,2011,48,24029.399999999954,0.1
AK,Missing/Undefined,2012,43,16812.899999999987,0.1
AK,Missing/Undefined,2013,69,69369.2000000002,0.1
AK,Missing/Undefined,2014,281,222631.80000000115,0.1
AK,Missing/Undefined,2015,281,85780.80000000102,0.1
AK,Powerline,1992,22,4.400000000000001,0.1
AK,Powerline,1993,29,11.599999999999998,0.1
AK,Powerline,1994,8,1.7000000000000002,0.1
AK,Powerline,1995,24,37.40000000000003,0.1
AK,Powerline,1996,17,3.2000000000000006,0.1
AK,Powerline,1997,24,8.199999999999996,0.1
AK,Powerline,1998,35,14.799999999999999,0.1
AK,Powerline,1999,21,29.1,0.1
AK,Powerline,2000,13,3.0,0.1
AK,Powerline,2001,21,3.700000000000001,0.1
AK,Powerline,2002,19,10.0,0.1
AK,Powerline,2003,32,45.30000000000001,0.1
AK,Powerline,2004,14,3.100000000000001,0.1
AK,Powerline,2005,8,5401.700000000002,0.1
AK,Powerline,2006,17,17.599999999999998,0.1
AK,Powerline,2007,11,2.1,0.1
AK,Powerline,2008,13,37.800000000000004,0.1
AK,Powerline,2009,20,1077.4999999999995,0.1
AK,Powerline,2010,35,12.999999999999995,0.1
AK,Powerline,2012,1,1.5,1.5
AK,Powerline,2013,3,0.30000000000000004,0.1
AK,Powerline,2014,2,1.1,0.55
AK,Powerline,2015,5,4862.4000000000015,0.1
AK,Railroad,1996,2,10.1,5.05
AK,Railroad,2000,1,0.1,0.1
AK,Railroad,2004,1,0.1,0.1
AK,Railroad,2006,2,84.5,42.25
AK,Railroad,2007,3,28.6,1.5
AK,Railroad,2009,1,0.2,0.2
AK,Railroad,2011,1,0.1,0.1
AK,Railroad,2012,1,0.5,0.5
AK,Smoking,1992,19,1056.399999999999,0.1
AK,Smoking,1993,29,19.100000000000016,0.1
AK,Smoking,1994,25,4.5,0.1
AK,Smoking,1995,19,64.9,0.1
AK,Smoking,1996,40,6424.400000000011,0.1
AK,Smoking,1997,26,63.40000000000003,0.1
AK,Smoking,1998,9,1.7999999999999998,0.1
AK,Smoking,1999,9,16.400000000000002,0.1
AK,Smoking,2000,6,1121.6,0.35
AK,Smoking,2001,11,3.000000000000001,0.1
AK,Smoking,2002,13,6.0,0.2
AK,Smoking,2003,11,1.3,0.1
AK,Smoking,2004,12,3.400000000000001,0.1
AK,Smoking,2005,7,0.85,0.1
AK,Smoking,2006,2,0.4,0.2
AK,Smoking,2007,3,0.30000000000000004,0.1
AK,Smoking,2008,2,0.7,0.35
AK,Smoking,2009,3,1.8,0.2
AK,Smoking,2010,2,0.2,0.1
AK,Smoking,2011,6,0.7999999999999999,0.1
AK,Smoking,2012,2,0.2,0.1
AK,Smoking,2013,4,0.5,0.1
AK,Smoking,2015,2,2.1,1.05
AK,Structure,1992,21,241.79999999999993,0.1
AK,Structure,1993,30,6.299999999999997,0.1
AK,Structure,1994,18,3.5,0.1
AK,Structure,1995,16,4.599999999999999,0.1
AK,Structure,1996,28,14.899999999999995,0.1
AK,Structure,1997,23,10.1,0.2
AK,Structure,1998,13,91.8,0.1
AK,Structure,1999,19,4.2,0.1
AK,Structure,2000,23,3.4000000000000012,0.1
AK,Structure,2001,13,4.4,0.1
AK,Structure,2002,15,4.0,0.1
AK,Structure,2003,17,1.9000000000000004,0.1
AK,Structure,2004,20,4.0,0.1
AK,Structure,2005,17,5.699999999999998,0.1
AK,Structure,2006,10,20.200000000000006,0.1
AK,Structure,2007,20,39.3,0.1
AK,Structure,2008,11,1.6000000000000003,0.1
AK,Structure,2009,17,6.599999999999999,0.1
AK,Structure,2010,11,1.9,0.1
AK,Structure,2011,4,55.300000000000004,0.1
AL,Arson,1992,68,844.8000000000001,4.0
AL,Arson,1993,98,1913.9999999999995,3.0
AL,Arson,1994,86,943.4000000000002,4.0
AL,Arson,1995,136,4374.400000000001,2.75
AL,Arson,1996,109,1986.7999999999997,5.0
AL,Arson,1997,1303,14301.600000000022,3.0
AL,Arson,1998,1867,26556.399999999936,3.5
AL,Arson,1999,2338,33961.09999999986,4.0
AL,Arson,2000,2767,49702.89999999975,4.0
AL,Arson,2001,1559,25392.99999999995,5.0
AL,Arson,2002,1330,23600.699999999993,5.0
AL,Arson,2003,909,13502.800000000014,6.0
AL,Arson,2004,1458,30856.169999999936,8.6
AL,Arson,2005,1250,30904.05999999998,8.0
AL,Arson,2006,1713,42195.899999999936,10.0
AL,Arson,2007,1488,27138.829999999954,4.0
AL,Arson,2008,684,9929.120000000004,5.0
AL,Arson,2009,442,10190.910000000003,10.0
AL,Arson,2010,620,14839.810000000003,10.0
AL,Arson,2011,398,15068.550000000007,10.0
AL,Arson,2012,361,10215.19,15.0
AL,Arson,2013,273,11306.640000000003,17.0
AL,Arson,2014,322,10858.970000000007,10.0
AL,Arson,2015,247,6657.94,13.5
AL,Campfire,1992,2,0.2,0.1
AL,Campfire,1993,2,0.6,0.3
AL,Campfire,1994,1006,5995.799999999998,2.0
AL,Campfire,1995,1235,6918.2999999999965,2.0
AL,Campfire,1996,1230,10444.200000000019,2.5
AL,Campfire,1997,26,240.7,4.3
AL,Campfire,1998,35,217.99999999999997,2.5
AL,Campfire,1999,46,370.6,3.0
AL,Campfire,2000,48,665.3,4.0
AL,Campfire,2001,33,344.6,6.0
AL,Campfire,2002,20,184.8,1.75
AL,Campfire,2003,11,86.9,6.0
AL,Campfire,2004,11,152.2,4.0
AL,Campfire,2005,20,692.5,16.95
AL,Campfire,2006,19,402.6,8.6
AL,Campfire,2007,38,478.90000000000003,3.75
AL,Campfire,2008,14,104.5,1.75
AL,Campfire,2009,10,363.35,8.5
AL,Campfire,2010,40,744.85,3.0
AL,Campfire,2011,17,1426.05,2.0
AL,Campfire,2012,19,418.35,5.0
AL,Campfire,2013,23,1062.2200000000003,5.0
AL,Campfire,2014,13,223.4,12.0
AL,Campfire,2015,13,183.4,7.5
AL,Children,1994,57,174.39999999999998,1.3
AL,Children,1995,80,525.3000000000001,1.0
AL,Children,1996,108,439.1,1.5
AL,Children,1997,55,307.30000000000007,0.5
AL,Children,1998,64,373.6,0.9
AL,Children,1999,60,170.69999999999996,1.0
AL,Children,2000,130,462.60000000000014,1.5
AL,Children,2001,60,750.4000000000001,2.0
AL,Children,2002,56,146.7,1.0
AL,Children,2003,29,138.35,2.0
AL,Children,2004,62,454.1500000000001,1.75
AL,Children,2005,30,174.35000000000002,2.0
